userId,hotelID,Hotel_Name,Average_Rating,Predicted_Rating,Hybrid_Score,Normalized_Hybrid_Score,Rank,Number_of_Reviewers
soa,4_2,The Sea Luxury Nha Trang Apartment,9.43,8.701443,31.65224760248885,10.0,1,37
soa,43_9,Khách sạn Gibson Nha Trang (GIBSON HOTEL NHA TRANG),9.43,9.929363,30.69208334282985,9.04134002431323,2,21
soa,2_3,ELITE HOTEL NHA TRANG,9.82,8.486055,24.527854789373144,2.886768933234281,3,17
soa,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,9.202343,22.866963282176723,1.2284795354673181,4,11
soa,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,9.023145,21.636556074623073,0.0,5,10
soeren,12_8,The Moon Villas (The Trang Villas),8.87,9.521102,42.84314663400608,10.0,1,89
soeren,23_5,Residence Inn Villa Cam Ranh,9.49,8.621999,31.58722406875942,5.954574615007853,2,38
soeren,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,8.753439,20.989829877938913,2.145827066701126,3,10
soeren,6_6,Hien Luong Hotel Nha Trang,8.53,8.518419,19.61438521718249,1.6514865349480092,4,9
soeren,15_29,"Căn hộ 65 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Coastal House Nha Trang)",9.36,8.382441,15.019317261193383,0.0,5,5
sohee,12_12,Lumina Villas Cam Ranh,9.16,9.43661,46.35880931122102,10.0,1,135
